Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,4,5,5,20,5,0,5.934,22.787,84.101,0.021696031746032
3,4,6,6,21,8,-0.333333333333333,,,,
3,4,6,6,23,6,0,,,,
3,4,7,15,56,6,0.142857142857143,,,,
3,4,6,6,23,6,0,,,,
3,4,7,42,151,6,0.142857142857143,,,,
3,4,9,108,413,6,0.333333333333333,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,7,11,46,6,0.142857142857143,,,,
3,4,5,5,20,5,0,,,,
3,4,6,8,33,5,0.166666666666667,,,,
3,4,5,5,20,5,0,,,,
3,4,6,10,39,6,0,,,,
3,4,7,16,63,6,0.142857142857143,,,,
3,4,6,14,55,5,0.166666666666667,,,,
3,4,8,194,645,5,0.375,,,,
3,4,6,13,52,6,0,,,,
3,4,5,12,49,4,0.2,,,,
3,4,7,52,197,4,0.428571428571429,,,,
3,4,4,4,15,4,0,,,,
3,4,8,40,135,5,0.375,,,,
3,4,5,5,20,5,0,,,,
3,4,7,41,152,4,0.428571428571429,,,,
3,4,6,8,33,5,0.166666666666667,,,,
3,4,4,4,17,4,0,,,,
3,4,5,5,18,6,-0.2,,,,
3,4,4,4,17,4,0,,,,
3,4,6,6,23,6,0,,,,
3,4,6,11,42,5,0.166666666666667,,,,
3,4,4,4,17,4,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,5,5,22,5,0,,,,
3,4,3,3,12,3,0,,,,
3,4,8,142,457,3,0.625,,,,
3,4,5,5,22,5,0,,,,
3,4,8,38,131,5,0.375,,,,
3,4,7,8,29,8,-0.142857142857143,,,,
3,4,4,4,13,4,0,,,,
3,4,7,17,66,6,0.142857142857143,,,,
3,4,5,6,25,5,0,,,,
3,4,7,10,41,6,0.142857142857143,,,,
3,4,6,11,42,5,0.166666666666667,,,,
3,4,5,7,30,4,0.2,,,,
3,4,3,3,10,3,0,,,,
3,4,6,6,23,6,0,,,,
3,4,8,104,365,6,0.25,,,,
3,4,7,15,56,7,0,,,,
3,4,8,31,110,9,-0.125,,,,
3,4,6,10,39,6,0,,,,
3,4,7,42,151,6,0.142857142857143,,,,
3,4,6,11,44,6,0,,,,
3,4,6,7,26,6,0,,,,
3,4,7,27,108,6,0.142857142857143,,,,
3,4,8,194,645,5,0.375,,,,
3,4,3,3,14,3,0,,,,
3,4,5,5,20,6,-0.2,,,,
3,4,6,8,33,6,0,,,,
3,4,5,5,16,5,0,,,,
3,4,7,18,67,6,0.142857142857143,,,,
3,4,8,49,194,6,0.25,,,,
3,4,6,6,23,6,0,,,,
3,4,6,6,21,7,-0.166666666666667,,,,
3,4,5,5,20,5,0,,,,
3,4,8,49,194,6,0.25,,,,
3,4,8,104,365,6,0.25,,,,
3,4,8,69,252,6,0.25,,,,
3,4,4,4,17,4,0,,,,
3,4,8,60,239,6,0.25,,,,
3,4,7,30,121,5,0.285714285714286,,,,
3,4,2,2,9,2,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,11,46,6,0.142857142857143,,,,
3,4,6,6,23,6,0,,,,
3,4,6,7,28,7,-0.166666666666667,,,,
3,4,7,55,200,4,0.428571428571429,,,,
3,4,7,55,200,4,0.428571428571429,,,,
3,4,7,79,272,4,0.428571428571429,,,,
3,4,4,4,17,4,0,,,,
3,4,3,3,10,3,0,,,,
3,4,8,70,277,6,0.25,,,,
3,4,5,5,22,5,0,,,,
3,4,3,3,14,3,0,,,,
3,4,7,56,207,4,0.428571428571429,,,,
3,4,6,14,55,5,0.166666666666667,,,,
3,4,7,26,105,6,0.142857142857143,,,,
3,4,4,4,17,4,0,,,,
3,4,3,3,14,3,0,,,,
3,4,8,59,218,5,0.375,,,,
3,4,6,6,23,6,0,,,,
3,4,7,16,61,6,0.142857142857143,,,,
3,4,8,111,390,5,0.375,,,,
3,4,7,26,105,6,0.142857142857143,,,,
3,4,3,3,12,3,0,,,,
3,4,7,26,105,6,0.142857142857143,,,,
3,4,8,63,230,5,0.375,,,,
3,4,6,14,55,5,0.166666666666667,,,,
3,4,7,48,189,5,0.285714285714286,,,,
3,4,6,8,33,5,0.166666666666667,,,,
3,4,8,25,100,7,0.125,,,,
3,4,6,18,67,5,0.166666666666667,,,,
3,4,8,49,194,6,0.25,,,,
3,4,5,5,22,5,0,,,,
3,4,4,4,17,4,0,,,,
3,4,7,52,197,4,0.428571428571429,,,,
3,4,5,6,25,5,0,,,,
3,4,4,4,17,4,0,,,,
3,4,4,4,17,4,0,,,,
3,4,5,6,25,5,0,,,,
3,4,4,4,17,4,0,,,,
3,4,7,20,77,6,0.142857142857143,,,,
3,4,6,6,23,6,0,,,,
3,4,7,40,145,6,0.142857142857143,,,,
3,4,4,4,15,4,0,,,,
3,4,8,207,674,3,0.625,,,,
3,4,4,4,15,4,0,,,,
3,4,3,3,14,3,0,,,,
3,4,6,11,42,5,0.166666666666667,,,,
3,4,6,10,39,6,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,40,145,6,0.142857142857143,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,6,6,21,8,-0.333333333333333,,,,
3,4,7,26,105,6,0.142857142857143,,,,
3,4,5,5,16,5,0,,,,
3,4,3,3,12,3,0,,,,
3,4,6,13,42,6,0,,,,
3,4,6,18,67,5,0.166666666666667,,,,
3,4,7,56,207,4,0.428571428571429,,,,
3,4,7,15,56,7,0,,,,
3,4,8,38,131,5,0.375,,,,
3,4,8,25,100,7,0.125,,,,
3,4,7,40,145,6,0.142857142857143,,,,
3,4,4,4,15,4,0,,,,
3,4,6,6,23,7,-0.166666666666667,,,,
3,4,7,12,43,7,0,,,,
3,4,3,3,14,3,0,,,,
3,4,6,8,29,7,-0.166666666666667,,,,
3,4,1,1,4,1,0,,,,
3,4,3,3,12,3,0,,,,
3,4,4,4,17,4,0,,,,
3,4,7,12,43,7,0,,,,
3,4,6,14,57,5,0.166666666666667,,,,
3,4,4,4,17,4,0,,,,
3,4,8,70,277,6,0.25,,,,
3,4,5,5,20,5,0,,,,
3,4,6,7,26,6,0,,,,
3,4,5,5,22,5,0,,,,
3,4,8,60,239,6,0.25,,,,
3,4,9,108,413,6,0.333333333333333,,,,
3,4,7,22,83,7,0,,,,
3,4,6,9,34,7,-0.166666666666667,,,,
3,4,8,34,129,6,0.25,,,,
3,4,8,52,191,7,0.125,,,,
3,4,8,60,239,6,0.25,,,,
3,4,3,3,12,3,0,,,,
3,4,3,3,14,3,0,,,,
3,4,7,14,51,7,0,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,6,6,23,6,0,,,,
3,4,5,9,34,5,0,,,,
3,4,3,3,14,3,0,,,,
3,4,7,42,151,6,0.142857142857143,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,3,3,14,3,0,,,,
3,4,6,6,23,6,0,,,,
3,4,4,4,17,4,0,,,,
3,4,5,5,16,5,0,,,,
3,4,7,18,67,6,0.142857142857143,,,,
3,4,7,21,80,7,0,,,,
3,4,5,5,18,5,0,,,,
3,4,4,4,17,4,0,,,,
3,4,3,3,14,3,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,6,10,41,5,0.166666666666667,,,,
3,4,7,32,123,6,0.142857142857143,,,,
3,4,6,11,44,6,0,,,,
3,4,6,7,28,6,0,,,,
3,4,7,12,43,7,0,,,,
3,4,3,3,14,3,0,,,,
3,4,7,8,29,8,-0.142857142857143,,,,
3,4,6,11,40,6,0,,,,
3,4,6,14,53,6,0,,,,
3,4,7,17,66,6,0.142857142857143,,,,
3,4,7,27,108,6,0.142857142857143,,,,
3,4,5,5,20,5,0,,,,
3,4,2,2,9,2,0,,,,
3,4,7,9,36,7,0,,,,
3,4,6,8,33,5,0.166666666666667,,,,
3,4,7,11,42,8,-0.142857142857143,,,,
3,4,6,11,42,5,0.166666666666667,,,,
3,4,6,12,49,5,0.166666666666667,,,,
3,4,3,3,10,3,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,17,66,6,0.142857142857143,,,,
3,4,4,4,17,4,0,,,,
3,4,5,5,20,5,0,,,,
3,4,7,15,58,6,0.142857142857143,,,,
3,4,6,11,42,6,0,,,,
3,4,5,5,22,5,0,,,,
3,4,5,5,20,5,0,,,,
3,4,5,12,49,4,0.2,,,,
3,4,7,22,83,7,0,,,,
3,4,6,14,55,5,0.166666666666667,,,,
3,4,8,59,218,5,0.375,,,,
3,4,8,48,179,7,0.125,,,,
3,4,6,10,39,6,0,,,,
3,4,4,4,17,4,0,,,,
3,4,6,14,55,5,0.166666666666667,,,,
3,4,9,108,413,6,0.333333333333333,,,,
3,4,5,5,22,5,0,,,,
3,4,8,113,424,5,0.375,,,,
3,4,5,5,20,5,0,,,,
3,4,7,15,60,7,0,,,,
3,4,8,207,674,3,0.625,,,,
3,4,2,2,9,2,0,,,,
3,4,7,14,53,7,0,,,,
3,4,6,6,25,7,-0.166666666666667,,,,
3,4,7,8,29,8,-0.142857142857143,,,,
3,4,7,40,145,6,0.142857142857143,,,,
3,4,9,222,769,4,0.555555555555556,,,,
3,4,3,3,14,3,0,,,,
3,4,6,6,23,6,0,,,,
3,4,6,11,42,6,0,,,,
3,4,7,40,145,6,0.142857142857143,,,,
3,4,7,15,60,7,0,,,,
3,4,5,6,25,6,-0.2,,,,
3,4,7,10,41,6,0.142857142857143,,,,
3,4,5,7,30,4,0.2,,,,
3,4,7,11,46,6,0.142857142857143,,,,
3,4,7,18,67,6,0.142857142857143,,,,
3,4,6,10,39,6,0,,,,
3,4,8,23,94,7,0.125,,,,
3,4,7,15,60,7,0,,,,
3,4,8,207,674,3,0.625,,,,
3,4,4,4,15,4,0,,,,
3,4,7,21,80,7,,,,,
3,4,6,7,28,7,,,,,
3,4,6,6,19,7,,,,,
3,4,7,11,46,6,,,,,
3,4,4,4,17,4,,,,,
3,4,3,3,12,3,,,,,
3,4,3,3,14,3,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,17,4,,,,,
3,4,1,1,4,1,,,,,
3,4,8,49,194,6,,,,,
3,4,7,8,31,7,,,,,
3,4,6,6,21,6,,,,,
3,4,5,5,18,6,,,,,
3,4,7,56,207,4,,,,,
3,4,3,3,14,3,,,,,
3,4,7,66,223,4,,,,,
3,4,4,4,17,4,,,,,
3,4,4,4,17,4,,,,,
3,4,4,4,17,4,,,,,
3,4,6,13,42,6,,,,,
3,4,5,5,20,5,,,,,
3,4,7,10,41,6,,,,,
3,4,8,118,415,5,,,,,
3,4,9,50,197,8,,,,,
3,4,8,70,277,6,,,,,
3,4,6,13,42,6,,,,,
3,4,7,42,151,6,,,,,
3,4,6,32,111,3,,,,,
3,4,8,49,194,6,,,,,
3,4,7,12,47,7,,,,,
3,4,8,70,277,6,,,,,
3,4,4,4,17,4,,,,,
3,4,4,4,17,4,,,,,
3,4,5,5,20,5,,,,,
3,4,8,34,129,6,,,,,
3,4,8,104,365,6,,,,,
3,4,4,4,17,4,,,,,
3,4,8,32,117,7,,,,,
3,4,6,10,39,6,,,,,
3,4,7,9,36,7,,,,,
3,4,7,17,66,6,,,,,
3,4,7,30,121,5,,,,,
3,4,6,7,28,6,,,,,
3,4,7,52,197,4,,,,,
3,4,7,15,60,7,,,,,
3,4,7,26,105,6,,,,,
3,4,5,5,20,5,,,,,
3,4,6,9,36,6,,,,,
3,4,6,12,39,6,,,,,
3,4,5,5,16,5,,,,,
3,4,4,4,17,4,,,,,
3,4,7,42,151,6,,,,,
3,4,7,54,199,8,,,,,
3,4,7,79,272,4,,,,,
3,4,5,7,30,4,,,,,
3,4,8,63,218,7,,,,,
3,4,6,7,28,6,,,,,
3,4,4,4,17,4,,,,,
3,4,7,27,108,6,,,,,
3,4,3,3,12,3,,,,,
3,4,8,57,210,5,,,,,
3,4,8,34,129,6,,,,,
3,4,8,33,124,6,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,17,4,,,,,
3,4,8,25,100,7,,,,,
3,4,6,11,42,6,,,,,
3,4,6,8,33,6,,,,,
3,4,7,12,47,7,,,,,
3,4,5,5,18,5,,,,,
3,4,7,10,41,6,,,,,
3,4,3,3,14,3,,,,,
3,4,6,11,40,6,,,,,
3,4,6,7,26,6,,,,,
3,4,6,6,23,6,,,,,
3,4,2,2,9,2,,,,,
3,4,4,4,17,4,,,,,
3,4,5,12,49,4,,,,,
3,4,6,6,21,6,,,,,
3,4,4,4,15,4,,,,,
3,4,6,8,33,6,,,,,
3,4,7,9,34,7,,,,,
3,4,3,3,14,3,,,,,
3,4,8,118,415,5,,,,,
3,4,3,3,12,3,,,,,
3,4,8,65,232,5,,,,,
3,4,8,23,94,7,,,,,
3,4,8,30,111,7,,,,,
3,4,7,32,123,6,,,,,
3,4,7,79,272,4,,,,,
3,4,8,179,590,5,,,,,
3,4,5,5,20,6,,,,,
3,4,3,3,10,3,,,,,
3,4,6,14,55,5,,,,,
3,4,7,52,197,4,,,,,
3,4,8,63,230,5,,,,,
3,4,7,15,56,7,,,,,
3,4,7,12,43,7,,,,,
3,4,2,2,9,2,,,,,
3,4,6,10,39,6,,,,,
3,4,7,79,272,4,,,,,
3,4,5,5,20,5,,,,,
3,4,6,11,42,5,,,,,
3,4,7,10,41,6,,,,,
3,4,6,32,111,3,,,,,
3,4,5,5,20,5,,,,,
3,4,6,32,111,3,,,,,
3,4,7,40,145,6,,,,,
3,4,5,7,30,4,,,,,
3,4,7,56,207,4,,,,,
3,4,5,5,22,5,,,,,
3,4,7,66,223,4,,,,,
3,4,6,6,19,7,,,,,
3,4,5,10,37,5,,,,,
3,4,6,6,25,7,,,,,
3,4,6,14,55,5,,,,,
3,4,8,65,232,5,,,,,
3,4,6,14,55,5,,,,,
3,4,7,9,36,7,,,,,
3,4,7,21,80,7,,,,,
3,4,6,8,33,5,,,,,
3,4,1,1,4,1,,,,,
3,4,8,70,277,6,,,,,
3,4,8,30,111,7,,,,,
3,4,5,5,20,5,,,,,
3,4,2,2,7,2,,,,,
3,4,6,11,44,6,,,,,
3,4,8,69,252,6,,,,,
3,4,7,48,189,5,,,,,
3,4,5,5,18,5,,,,,
3,4,5,5,20,5,,,,,
3,4,6,7,28,6,,,,,
3,4,7,15,58,7,,,,,
3,4,5,12,49,4,,,,,
3,4,8,38,131,5,,,,,
3,4,5,5,16,5,,,,,
3,4,8,70,277,6,,,,,
3,4,7,11,42,8,,,,,
3,4,6,8,33,5,,,,,
3,4,8,65,232,5,,,,,
3,4,6,13,42,6,,,,,
3,4,4,4,17,4,,,,,
3,4,8,207,674,3,,,,,
3,4,5,5,18,5,,,,,
3,4,6,7,28,7,,,,,
3,4,8,70,277,6,,,,,
3,4,8,49,194,6,,,,,
3,4,7,9,34,7,,,,,
3,4,6,6,25,7,,,,,
3,4,6,10,41,5,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,17,4,,,,,
3,4,7,79,272,4,,,,,
3,4,8,25,100,7,,,,,
3,4,5,5,20,5,,,,,
3,4,8,56,209,6,,,,,
3,4,8,142,457,3,,,,,
3,4,6,7,28,6,,,,,
3,4,5,5,18,5,,,,,
3,4,4,4,17,5,,,,,
3,4,6,6,23,6,,,,,
3,4,6,8,33,6,,,,,
3,4,2,2,9,2,,,,,
3,4,7,17,66,6,,,,,
3,4,6,14,55,5,,,,,
3,4,6,14,55,5,,,,,
3,4,7,15,58,7,,,,,
3,4,5,5,20,5,,,,,
3,4,7,10,41,6,,,,,
3,4,7,30,121,5,,,,,
3,4,7,27,108,6,,,,,
3,4,8,23,94,7,,,,,
3,4,5,5,20,5,,,,,
3,4,7,54,199,8,,,,,
3,4,4,4,17,4,,,,,
3,4,7,12,43,7,,,,,
3,4,7,9,34,7,,,,,
3,4,7,40,145,6,,,,,
3,4,6,6,21,7,,,,,
3,4,7,17,66,6,,,,,
3,4,6,11,42,5,,,,,
3,4,5,5,20,5,,,,,
3,4,6,7,28,6,,,,,
3,4,4,4,17,4,,,,,
3,4,7,18,69,7,,,,,
3,4,7,32,123,6,,,,,
3,4,5,9,34,5,,,,,
3,4,6,6,25,6,,,,,
3,4,7,9,34,7,,,,,
3,4,3,3,14,3,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,13,4,,,,,
3,4,6,14,55,5,,,,,
3,4,5,5,20,5,,,,,
3,4,8,98,373,6,,,,,
3,4,4,4,15,4,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,17,4,,,,,
3,4,4,4,17,4,,,,,
3,4,8,70,277,6,,,,,
3,4,7,48,189,5,,,,,
3,4,7,10,41,6,,,,,
3,4,4,4,17,4,,,,,
3,4,8,49,194,6,,,,,
3,4,5,5,18,6,,,,,
3,4,5,5,22,5,,,,,
3,4,7,34,125,4,,,,,
3,4,6,14,55,5,,,,,
3,4,6,8,33,5,,,,,
3,4,8,52,191,7,,,,,
3,4,7,16,63,6,,,,,
3,4,7,11,46,6,,,,,
3,4,7,10,41,6,,,,,
3,4,6,10,39,6,,,,,
3,4,8,104,365,6,,,,,
3,4,6,18,67,5,,,,,
3,4,6,7,26,6,,,,,
3,4,6,6,23,7,,,,,
3,4,6,6,25,6,,,,,
3,4,4,4,15,4,,,,,
3,4,6,17,62,5,,,,,
3,4,5,5,20,5,,,,,
3,4,5,10,37,5,,,,,
3,4,5,5,20,6,,,,,
3,4,6,6,19,9,,,,,
3,4,5,5,22,5,,,,,
3,4,4,4,17,4,,,,,
3,4,7,15,58,7,,,,,
3,4,6,14,55,5,,,,,
3,4,3,3,10,3,,,,,
3,4,6,10,41,5,,,,,
3,4,5,5,20,5,,,,,
3,4,5,12,49,4,,,,,
3,4,7,17,66,6,,,,,
3,4,6,14,55,5,,,,,
3,4,7,14,51,7,,,,,
3,4,6,6,23,6,,,,,
3,4,8,52,191,7,,,,,
3,4,8,32,109,8,,,,,
3,4,5,5,20,5,,,,,
3,4,3,3,12,3,,,,,
3,4,3,3,14,3,,,,,
3,4,8,48,179,7,,,,,
3,4,7,15,56,7,,,,,
3,4,7,15,58,6,,,,,
3,4,5,5,20,5,,,,,
3,4,7,42,151,6,,,,,
3,4,9,108,413,6,,,,,
3,4,5,5,20,6,,,,,
3,4,6,6,23,6,,,,,
3,4,5,5,20,5,,,,,
3,4,7,66,223,4,,,,,
3,4,5,5,22,5,,,,,
3,4,7,42,151,6,,,,,
3,4,5,5,20,5,,,,,
3,4,7,32,123,6,,,,,
3,4,6,14,57,5,,,,,
3,4,6,12,39,6,,,,,
3,4,7,40,145,6,,,,,
3,4,5,5,20,5,,,,,
3,4,6,14,55,5,,,,,
3,4,6,14,55,5,,,,,
3,4,9,68,255,7,,,,,
3,4,5,5,18,5,,,,,
3,4,7,12,43,7,,,,,
3,4,5,5,20,5,,,,,
3,4,7,8,29,8,,,,,
3,4,6,8,33,5,,,,,
3,4,6,8,33,5,,,,,
3,4,4,4,17,4,,,,,
3,4,4,4,15,4,,,,,
3,4,5,5,20,5,,,,,
3,4,8,52,191,7,,,,,
3,4,8,142,457,3,,,,,
3,4,5,5,22,5,,,,,
3,4,7,15,60,7,,,,,
3,4,6,6,23,6,,,,,
3,4,6,11,42,5,,,,,
3,4,7,11,46,6,,,,,
3,4,7,11,46,6,,,,,
3,4,5,5,22,5,,,,,
3,4,7,14,55,7,,,,,
3,4,9,68,255,7,,,,,
3,4,3,3,12,3,,,,,
3,4,7,15,60,7,,,,,
3,4,7,9,34,7,,,,,
3,4,4,4,17,4,,,,,
3,4,7,9,36,7,,,,,
3,4,6,8,33,6,,,,,
3,4,7,56,207,4,,,,,
3,4,8,70,277,6,,,,,
3,4,7,12,49,6,,,,,
3,4,4,4,13,4,,,,,
3,4,8,48,179,7,,,,,
3,4,6,11,42,6,,,,,
3,4,6,8,29,7,,,,,
3,4,8,194,645,5,,,,,
3,4,6,14,55,5,,,,,
3,4,6,8,33,6,,,,,
3,4,7,27,108,6,,,,,
3,4,8,113,424,5,,,,,
3,4,8,70,277,6,,,,,
3,4,7,13,52,7,,,,,
3,4,6,10,39,6,,,,,
3,4,5,5,20,5,,,,,
3,4,6,13,42,6,,,,,
3,4,6,6,23,6,,,,,
3,4,7,17,66,6,,,,,
3,4,5,5,22,5,,,,,
3,4,5,10,37,5,,,,,
3,4,4,4,15,4,,,,,
3,4,8,25,100,7,,,,,
3,4,4,4,13,4,,,,,
3,4,3,3,14,3,,,,,
3,4,5,5,22,5,,,,,
3,4,2,2,7,2,,,,,
3,4,7,42,151,6,,,,,
3,4,3,3,14,3,,,,,
3,4,6,6,23,6,,,,,
3,4,6,8,33,5,,,,,
3,4,5,7,30,4,,,,,
3,4,6,13,42,6,,,,,
3,4,6,32,111,3,,,,,
3,4,6,14,57,5,,,,,
3,4,5,5,22,5,,,,,
3,4,7,26,105,6,,,,,
3,4,4,4,17,4,,,,,
3,4,6,9,36,6,,,,,
3,4,3,3,12,3,,,,,
3,4,8,70,277,6,,,,,
3,4,4,4,17,4,,,,,
3,4,7,30,121,5,,,,,
3,4,7,10,41,6,,,,,
3,4,7,15,56,7,,,,,
3,4,7,14,51,7,,,,,
3,4,7,12,43,7,,,,,
3,4,7,15,58,6,,,,,
3,4,6,6,23,6,,,,,
3,4,7,15,58,6,,,,,
3,4,8,18,69,8,,,,,
3,4,6,8,33,6,,,,,
3,4,4,4,17,4,,,,,
3,4,5,5,20,5,,,,,
3,4,7,30,121,5,,,,,
3,4,6,6,23,6,,,,,
3,4,8,54,209,6,,,,,
3,4,5,6,25,5,,,,,
3,4,7,42,151,6,,,,,
3,4,5,5,20,5,,,,,
3,4,4,4,17,4,,,,,
3,4,7,15,58,6,,,,,
3,4,5,5,18,6,,,,,
3,4,8,30,111,7,,,,,
3,4,7,48,189,5,,,,,
3,4,2,2,9,2,,,,,
3,4,6,6,23,6,,,,,
3,4,7,56,207,4,,,,,
3,4,8,63,230,5,,,,,
3,4,3,3,14,3,,,,,
3,4,8,194,645,5,,,,,
3,4,6,6,23,6,,,,,
