Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
10,15,19,191,14867,19,0,9.96551724137931,158.827586206897,11239.2413793103,-0.022781876320896
10,15,20,203,13775,22,-0.1,,,,
10,15,21,437,32756,21,0,,,,
10,15,19,342,24490,19,0,,,,
10,15,21,405,30871,21,0,,,,
10,15,22,417,31255,23,-0.045454545454546,,,,
10,15,18,109,7497,18,0,,,,
10,15,19,95,7196,20,-0.052631578947369,,,,
10,15,18,106,7203,18,0,,,,
10,15,22,424,31698,22,0,,,,
10,15,20,1584,104392,21,-0.05,,,,
10,15,18,102,7603,18,0,,,,
10,15,22,210,14020,26,-0.181818181818182,,,,
10,15,20,192,13939,21,-0.05,,,,
10,15,21,413,28640,24,-0.142857142857143,,,,
10,15,20,115,8076,21,-0.05,,,,
10,15,21,473,30533,23,-0.095238095238095,,,,
10,15,19,176,13559,21,-0.105263157894737,,,,
10,15,20,193,14541,21,-0.05,,,,
10,15,19,402,28354,19,0,,,,
10,15,18,104,7727,18,0,,,,
10,15,20,220,13785,25,-0.25,,,,
10,15,22,199,13482,23,-0.045454545454546,,,,
10,15,21,343,26838,21,0,,,,
10,15,19,216,14599,20,-0.052631578947369,,,,
10,15,20,368,29423,21,-0.05,,,,
10,15,20,364,24108,20,0,,,,
10,15,19,370,27450,19,0,,,,
10,15,20,439,29199,20,0,,,,
