Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
4,5,8,28,249,7,0.125,6.926,47.614,346.335,0.008846031746032
4,5,7,26,215,7,0,,,,
4,5,6,6,49,7,-0.166666666666667,,,,
4,5,7,27,217,7,0,,,,
4,5,6,15,121,7,-0.166666666666667,,,,
4,5,8,16,129,8,0,,,,
4,5,6,12,91,6,0,,,,
4,5,7,16,132,7,0,,,,
4,5,7,12,97,7,0,,,,
4,5,5,9,70,5,0,,,,
4,5,8,53,428,8,0,,,,
4,5,8,65,503,7,0.125,,,,
4,5,6,11,98,6,0,,,,
4,5,7,8,68,7,0,,,,
4,5,6,11,86,6,0,,,,
4,5,6,9,70,6,0,,,,
4,5,8,48,391,7,0.125,,,,
4,5,7,19,156,7,0,,,,
4,5,9,206,1499,8,0.111111111111111,,,,
4,5,8,80,659,7,0.125,,,,
4,5,5,5,44,5,0,,,,
4,5,8,99,814,6,0.25,,,,
4,5,8,30,238,7,0.125,,,,
4,5,6,11,83,6,0,,,,
4,5,7,15,130,7,0,,,,
4,5,4,4,36,4,0,,,,
4,5,8,29,236,9,-0.125,,,,
4,5,6,11,80,6,0,,,,
4,5,8,63,424,8,0,,,,
4,5,6,7,51,6,0,,,,
4,5,8,54,409,6,0.25,,,,
4,5,8,759,5350,4,0.5,,,,
4,5,9,50,413,10,-0.111111111111111,,,,
4,5,4,4,33,4,0,,,,
4,5,8,116,872,6,0.25,,,,
4,5,8,26,194,8,0,,,,
4,5,8,36,295,8,0,,,,
4,5,5,5,41,5,0,,,,
4,5,8,21,178,8,0,,,,
4,5,8,9,64,10,-0.25,,,,
4,5,7,7,57,8,-0.142857142857143,,,,
4,5,4,4,36,4,0,,,,
4,5,9,32,224,7,0.222222222222222,,,,
4,5,3,3,22,3,0,,,,
4,5,8,24,208,8,0,,,,
4,5,6,7,60,6,0,,,,
4,5,7,8,62,8,-0.142857142857143,,,,
4,5,6,9,70,6,0,,,,
4,5,8,105,712,7,0.125,,,,
4,5,5,5,38,5,0,,,,
4,5,8,30,262,7,0.125,,,,
4,5,6,6,49,6,0,,,,
4,5,8,15,121,9,-0.125,,,,
4,5,9,44,362,9,0,,,,
4,5,9,132,1012,8,0.111111111111111,,,,
4,5,7,91,714,5,0.285714285714286,,,,
4,5,8,29,245,7,0.125,,,,
4,5,7,11,89,8,-0.142857142857143,,,,
4,5,8,96,790,6,0.25,,,,
4,5,6,6,52,6,0,,,,
4,5,8,91,783,6,0.25,,,,
4,5,7,7,48,8,-0.142857142857143,,,,
4,5,5,11,83,5,0,,,,
4,5,5,5,38,5,0,,,,
4,5,6,63,385,4,0.333333333333333,,,,
4,5,7,14,107,7,0,,,,
4,5,6,11,83,6,0,,,,
4,5,8,53,443,8,0,,,,
4,5,8,48,412,7,0.125,,,,
4,5,8,51,427,8,0,,,,
4,5,8,20,155,8,0,,,,
4,5,7,21,184,7,0,,,,
4,5,7,27,196,7,0,,,,
4,5,9,394,1851,5,0.444444444444444,,,,
4,5,8,26,236,7,0.125,,,,
4,5,9,52,447,9,0,,,,
4,5,7,29,257,6,0.142857142857143,,,,
4,5,6,15,118,6,0,,,,
4,5,8,206,1589,6,0.25,,,,
4,5,8,127,888,7,0.125,,,,
4,5,8,32,236,8,0,,,,
4,5,8,51,433,8,0,,,,
4,5,7,23,164,7,0,,,,
4,5,7,7,57,7,0,,,,
4,5,5,9,61,5,0,,,,
4,5,6,6,49,6,0,,,,
4,5,7,12,103,7,0,,,,
4,5,9,62,491,8,0.111111111111111,,,,
4,5,8,102,853,6,0.25,,,,
4,5,7,8,62,7,0,,,,
4,5,8,361,2670,6,0.25,,,,
4,5,7,13,99,7,0,,,,
4,5,6,6,40,6,0,,,,
4,5,7,21,184,7,0,,,,
4,5,8,36,298,7,0.125,,,,
4,5,9,1145,7094,7,0.222222222222222,,,,
4,5,8,51,430,7,0.125,,,,
4,5,7,19,156,6,0.142857142857143,,,,
4,5,7,14,113,7,0,,,,
4,5,8,1721,10382,4,0.5,,,,
4,5,4,4,36,4,0,,,,
4,5,8,45,385,7,0.125,,,,
4,5,9,34,273,8,0.111111111111111,,,,
4,5,8,34,261,7,0.125,,,,
4,5,7,33,259,6,0.142857142857143,,,,
4,5,7,17,137,9,-0.285714285714286,,,,
4,5,4,4,30,4,0,,,,
4,5,6,6,46,6,0,,,,
4,5,7,10,84,7,0,,,,
4,5,5,9,61,5,0,,,,
4,5,7,28,249,8,-0.142857142857143,,,,
4,5,5,6,49,5,0,,,,
4,5,7,170,1028,5,0.285714285714286,,,,
4,5,7,16,126,7,0,,,,
4,5,5,5,38,5,0,,,,
4,5,7,14,107,7,0,,,,
4,5,8,15,121,9,-0.125,,,,
4,5,5,9,70,5,0,,,,
4,5,7,17,104,7,0,,,,
4,5,7,19,129,7,0,,,,
4,5,8,18,130,8,0,,,,
4,5,8,19,162,8,0,,,,
4,5,5,5,41,5,0,,,,
4,5,10,65,518,9,0.1,,,,
4,5,6,11,86,6,0,,,,
4,5,6,11,83,6,0,,,,
4,5,8,28,222,9,-0.125,,,,
4,5,7,17,143,7,0,,,,
4,5,7,16,108,8,-0.142857142857143,,,,
4,5,8,39,340,7,0.125,,,,
4,5,9,36,298,9,0,,,,
4,5,6,6,49,7,-0.166666666666667,,,,
4,5,6,7,60,6,0,,,,
4,5,8,125,851,7,0.125,,,,
4,5,8,19,156,8,0,,,,
4,5,6,11,77,6,0,,,,
4,5,5,5,35,5,0,,,,
4,5,7,16,126,7,0,,,,
4,5,9,91,771,8,0.111111111111111,,,,
4,5,7,12,97,7,0,,,,
4,5,6,13,99,6,0,,,,
4,5,8,39,322,8,0,,,,
4,5,5,11,86,5,0,,,,
4,5,8,29,245,7,0.125,,,,
4,5,7,13,99,7,0,,,,
4,5,8,23,194,7,0.125,,,,
4,5,3,3,16,3,0,,,,
4,5,8,27,244,7,0.125,,,,
4,5,7,14,113,7,0,,,,
4,5,7,13,102,7,0,,,,
4,5,8,64,408,6,0.25,,,,
4,5,8,50,413,8,0,,,,
4,5,6,6,46,7,-0.166666666666667,,,,
4,5,7,129,835,5,0.285714285714286,,,,
4,5,7,8,68,8,-0.142857142857143,,,,
4,5,9,453,3532,7,0.222222222222222,,,,
4,5,7,7,60,7,0,,,,
4,5,8,19,159,8,0,,,,
4,5,8,58,486,7,0.125,,,,
4,5,7,10,87,7,0,,,,
4,5,8,104,803,8,0,,,,
4,5,8,55,468,7,0.125,,,,
4,5,8,62,503,7,0.125,,,,
4,5,7,14,113,7,0,,,,
4,5,8,126,946,6,0.25,,,,
4,5,7,9,73,7,0,,,,
4,5,7,41,332,5,0.285714285714286,,,,
4,5,8,14,116,8,0,,,,
4,5,8,61,447,8,0,,,,
4,5,5,5,44,5,0,,,,
4,5,7,30,247,6,0.142857142857143,,,,
4,5,7,16,108,8,-0.142857142857143,,,,
4,5,8,21,181,8,0,,,,
4,5,8,48,400,8,0,,,,
4,5,7,27,220,7,0,,,,
4,5,7,10,84,7,0,,,,
4,5,7,31,252,6,0.142857142857143,,,,
4,5,8,61,459,7,0.125,,,,
4,5,7,19,165,7,0,,,,
4,5,7,17,137,7,0,,,,
4,5,6,13,105,6,0,,,,
4,5,6,11,92,6,0,,,,
4,5,6,11,77,6,0,,,,
4,5,8,115,936,6,0.25,,,,
4,5,9,54,457,8,0.111111111111111,,,,
4,5,7,13,99,7,0,,,,
4,5,8,32,272,8,0,,,,
4,5,6,6,49,6,0,,,,
4,5,8,15,124,8,0,,,,
4,5,5,5,32,5,0,,,,
4,5,7,33,247,6,0.142857142857143,,,,
4,5,4,4,30,4,0,,,,
4,5,4,7,48,4,0,,,,
4,5,8,59,494,8,0,,,,
4,5,7,16,114,7,0,,,,
4,5,7,17,134,7,0,,,,
4,5,5,6,49,5,0,,,,
4,5,7,19,132,7,0,,,,
4,5,6,6,40,6,0,,,,
4,5,9,57,463,9,0,,,,
4,5,9,185,1334,11,-0.222222222222222,,,,
4,5,7,16,129,7,0,,,,
4,5,8,30,247,8,0,,,,
4,5,8,37,312,8,0,,,,
4,5,6,15,130,7,-0.166666666666667,,,,
4,5,7,13,102,7,0,,,,
4,5,7,26,218,7,0,,,,
4,5,7,26,221,6,0.142857142857143,,,,
4,5,8,29,245,7,0.125,,,,
4,5,4,4,33,4,0,,,,
4,5,7,8,62,7,0,,,,
4,5,7,12,97,7,0,,,,
4,5,7,21,175,7,0,,,,
4,5,6,6,49,6,0,,,,
4,5,7,26,233,7,0,,,,
4,5,8,48,421,8,0,,,,
4,5,6,17,119,6,0,,,,
4,5,9,55,474,8,0.111111111111111,,,,
4,5,6,7,54,6,0,,,,
4,5,7,32,260,6,0.142857142857143,,,,
4,5,6,6,49,6,0,,,,
4,5,6,13,105,6,0,,,,
4,5,9,478,3660,7,0.222222222222222,,,,
4,5,7,15,130,7,0,,,,
4,5,9,118,897,8,0.111111111111111,,,,
4,5,3,3,19,3,0,,,,
4,5,7,20,170,7,0,,,,
4,5,5,9,73,5,0,,,,
4,5,7,17,134,7,0,,,,
4,5,7,18,148,7,0,,,,
4,5,8,126,946,6,0.25,,,,
4,5,8,19,153,8,0,,,,
4,5,5,5,41,5,0,,,,
4,5,8,26,242,8,0,,,,
4,5,8,27,226,8,0,,,,
4,5,8,52,429,7,0.125,,,,
4,5,4,4,30,4,0,,,,
4,5,7,27,229,7,0,,,,
4,5,6,13,105,6,,,,,
