Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,5,8,236,887,5,0.375,7.8109243697479,1636.75210084034,5903.22268907563,0.3802423999903
3,5,10,2017,7408,5,0.5,,,,
3,5,8,218,787,5,0.375,,,,
3,5,9,848,3213,5,0.444444444444444,,,,
3,5,10,2261,8176,4,0.6,,,,
3,5,6,10000,35467,5,0.166666666666667,,,,
3,5,8,239,866,5,0.375,,,,
3,5,7,65,258,5,0.285714285714286,,,,
3,5,8,581,1992,4,0.5,,,,
3,5,7,52,199,5,0.285714285714286,,,,
3,5,7,53,200,5,0.285714285714286,,,,
3,5,7,50,193,5,0.285714285714286,,,,
3,5,8,793,2760,4,0.5,,,,
3,5,9,388,1419,5,0.444444444444444,,,,
3,5,11,8478,29517,4,0.636363636363636,,,,
3,5,8,96,357,5,0.375,,,,
3,5,7,10000,36605,5,0.285714285714286,,,,
3,5,7,112,369,4,0.428571428571429,,,,
3,5,3,6,19,2,0.333333333333333,,,,
3,5,7,80,295,5,0.285714285714286,,,,
3,5,9,1336,5061,5,0.444444444444444,,,,
3,5,7,102,365,4,0.428571428571429,,,,
3,5,7,39,142,5,0.285714285714286,,,,
3,5,9,515,1900,5,0.444444444444444,,,,
3,5,8,547,1814,3,0.625,,,,
3,5,10,4153,15606,5,0.5,,,,
3,5,10,3919,14118,4,0.6,,,,
3,5,6,10000,35467,5,0.166666666666667,,,,
3,5,5,5,16,5,0,,,,
3,5,8,218,793,5,0.375,,,,
3,5,7,68,257,5,0.285714285714286,,,,
3,5,6,43,154,4,0.333333333333333,,,,
3,5,7,58,229,5,0.285714285714286,,,,
3,5,8,126,449,5,0.375,,,,
3,5,10,3300,11729,5,0.5,,,,
3,5,9,1353,4960,5,0.444444444444444,,,,
3,5,10,3897,12852,4,0.6,,,,
3,5,7,50,199,5,0.285714285714286,,,,
3,5,10,2111,7552,5,0.5,,,,
3,5,7,44,169,5,0.285714285714286,,,,
3,5,9,835,3078,5,0.444444444444444,,,,
3,5,9,1863,6654,4,0.555555555555556,,,,
3,5,7,101,372,5,0.285714285714286,,,,
3,5,6,38,155,4,0.333333333333333,,,,
3,5,8,170,641,5,0.375,,,,
3,5,7,81,312,4,0.428571428571429,,,,
3,5,5,14,59,4,0.2,,,,
3,5,10,1965,6884,5,0.5,,,,
3,5,5,14,59,4,0.2,,,,
3,5,8,312,1179,5,0.375,,,,
3,5,8,239,866,5,0.375,,,,
3,5,8,115,416,5,0.375,,,,
3,5,3,3,12,3,0,,,,
3,5,7,102,353,4,0.428571428571429,,,,
3,5,10,1983,7434,5,0.5,,,,
3,5,6,10000,35467,5,0.166666666666667,,,,
3,5,9,482,1799,5,0.444444444444444,,,,
3,5,7,46,181,5,0.285714285714286,,,,
3,5,6,10000,35507,5,0.166666666666667,,,,
3,5,10,4186,14795,5,0.5,,,,
3,5,8,155,508,5,0.375,,,,
3,5,9,1450,5353,5,0.444444444444444,,,,
3,5,6,10000,36303,5,0.166666666666667,,,,
3,5,7,62,253,5,0.285714285714286,,,,
3,5,10,4437,16524,5,0.5,,,,
3,5,6,14,55,5,0.166666666666667,,,,
3,5,4,4,17,4,0,,,,
3,5,7,44,157,5,0.285714285714286,,,,
3,5,8,220,835,5,0.375,,,,
3,5,8,114,419,5,0.375,,,,
3,5,9,904,3121,4,0.555555555555556,,,,
3,5,7,80,295,5,0.285714285714286,,,,
3,5,10,1694,6135,5,0.5,,,,
3,5,7,208,811,4,0.428571428571429,,,,
3,5,6,26,107,4,0.333333333333333,,,,
3,5,8,670,2299,4,0.5,,,,
3,5,8,260,973,5,0.375,,,,
3,5,7,69,234,5,0.285714285714286,,,,
3,5,8,154,589,5,0.375,,,,
3,5,10,3348,12693,5,0.5,,,,
3,5,10,8251,29710,5,0.5,,,,
3,5,3,3,14,3,0,,,,
3,5,7,109,360,5,0.285714285714286,,,,
3,5,5,12,49,4,0.2,,,,
3,5,8,231,828,5,0.375,,,,
3,5,7,66,255,5,0.285714285714286,,,,
3,5,10,1799,6744,5,0.5,,,,
3,5,10,2224,7971,4,0.6,,,,
3,5,10,1836,6739,5,0.5,,,,
3,5,10,2105,7528,5,0.5,,,,
3,5,10,3864,13649,4,0.6,,,,
3,5,10,3321,12274,5,0.5,,,,
3,5,8,10000,36135,5,0.375,,,,
3,5,9,511,1830,5,0.444444444444444,,,,
3,5,10,2874,10809,5,0.5,,,,
3,5,9,1069,4006,5,0.444444444444444,,,,
3,5,4,4,17,4,0,,,,
3,5,10,1750,6567,5,0.5,,,,
3,5,5,12,49,4,0.2,,,,
3,5,9,1856,6595,4,0.555555555555556,,,,
3,5,9,574,1941,5,0.444444444444444,,,,
3,5,7,60,237,5,0.285714285714286,,,,
3,5,8,1163,3868,3,0.625,,,,
3,5,4,8,31,3,0.25,,,,
3,5,8,379,1390,5,0.375,,,,
3,5,7,107,414,4,0.428571428571429,,,,
3,5,10,1788,6663,5,0.5,,,,
3,5,11,2121,7850,5,0.545454545454545,,,,
3,5,9,1070,3817,5,0.444444444444444,,,,
3,5,8,108,415,5,0.375,,,,
3,5,6,10000,35657,4,0.333333333333333,,,,
3,5,8,10000,34245,5,0.375,,,,
3,5,6,30,113,4,0.333333333333333,,,,
3,5,8,321,1230,5,0.375,,,,
3,5,6,37,148,4,0.333333333333333,,,,
3,5,10,3693,13234,4,0.6,,,,
3,5,7,56,201,5,0.285714285714286,,,,
3,5,9,988,3787,4,0.555555555555556,,,,
3,5,7,71,236,4,0.428571428571429,,,,
3,5,9,1682,6019,5,0.444444444444444,,,,
3,5,4,4,19,4,0,,,,
3,5,10,6114,22421,5,0.5,,,,
3,5,8,271,1022,5,0.375,,,,
3,5,7,41,152,5,0.285714285714286,,,,
3,5,9,909,3400,5,0.444444444444444,,,,
3,5,7,52,199,5,0.285714285714286,,,,
3,5,8,10000,36135,5,0.375,,,,
3,5,6,43,154,4,0.333333333333333,,,,
3,5,9,1548,5673,5,0.444444444444444,,,,
3,5,4,8,31,3,0.25,,,,
3,5,8,326,1207,5,0.375,,,,
3,5,9,2181,8030,5,0.444444444444444,,,,
3,5,7,52,199,5,0.285714285714286,,,,
3,5,9,1860,6317,4,0.555555555555556,,,,
3,5,8,181,676,5,0.375,,,,
3,5,9,1353,4960,5,0.444444444444444,,,,
3,5,8,1107,3774,4,0.5,,,,
3,5,8,250,907,5,0.375,,,,
3,5,7,222,815,4,0.428571428571429,,,,
3,5,10,8634,31541,4,0.6,,,,
3,5,10,1946,7325,5,0.5,,,,
3,5,9,827,2814,4,0.555555555555556,,,,
3,5,7,44,169,5,0.285714285714286,,,,
3,5,7,341,1128,3,0.571428571428571,,,,
3,5,10,2237,8038,5,0.5,,,,
3,5,9,820,3097,5,0.444444444444444,,,,
3,5,9,532,1791,3,0.666666666666667,,,,
3,5,7,10000,33817,4,0.428571428571429,,,,
3,5,8,327,1234,5,0.375,,,,
3,5,7,54,197,5,0.285714285714286,,,,
3,5,7,46,161,5,0.285714285714286,,,,
3,5,9,265,968,5,0.444444444444444,,,,
3,5,8,200,755,5,0.375,,,,
3,5,3,3,12,3,0,,,,
3,5,9,1369,5252,4,0.555555555555556,,,,
3,5,10,1933,7030,5,0.5,,,,
3,5,7,53,200,5,0.285714285714286,,,,
3,5,7,130,455,4,0.428571428571429,,,,
3,5,9,996,3613,5,0.444444444444444,,,,
3,5,7,10000,33191,4,0.428571428571429,,,,
3,5,9,1419,5310,5,0.444444444444444,,,,
3,5,9,586,1955,5,0.444444444444444,,,,
3,5,9,816,3043,5,0.444444444444444,,,,
3,5,8,69,238,5,0.375,,,,
3,5,9,451,1656,5,0.444444444444444,,,,
3,5,7,66,261,5,0.285714285714286,,,,
3,5,9,2182,7899,4,0.555555555555556,,,,
3,5,8,117,418,5,0.375,,,,
3,5,8,416,1521,5,0.375,,,,
3,5,6,15,62,5,0.166666666666667,,,,
3,5,7,57,220,5,0.285714285714286,,,,
3,5,8,236,887,5,0.375,,,,
3,5,5,5,22,5,0,,,,
3,5,8,206,775,5,0.375,,,,
3,5,10,1983,7434,5,0.5,,,,
3,5,8,243,904,5,0.375,,,,
3,5,9,1788,6363,5,0.444444444444444,,,,
3,5,6,10000,37157,5,0.166666666666667,,,,
3,5,7,32,125,5,0.285714285714286,,,,
3,5,9,772,2875,5,0.444444444444444,,,,
3,5,8,120,451,5,0.375,,,,
3,5,8,205,780,5,0.375,,,,
3,5,9,904,3475,5,0.444444444444444,,,,
3,5,10,4614,16959,5,0.5,,,,
3,5,7,67,266,5,0.285714285714286,,,,
3,5,6,14,55,5,0.166666666666667,,,,
3,5,10,1940,7313,5,0.5,,,,
3,5,1,1,4,1,0,,,,
3,5,7,63,248,5,0.285714285714286,,,,
3,5,8,521,1810,4,0.5,,,,
3,5,9,1680,5519,4,0.555555555555556,,,,
3,5,6,14,55,5,0.166666666666667,,,,
3,5,6,21,86,5,0.166666666666667,,,,
3,5,5,35,116,3,0.4,,,,
3,5,9,1456,5429,5,0.444444444444444,,,,
3,5,7,59,224,5,0.285714285714286,,,,
3,5,8,174,655,5,0.375,,,,
3,5,9,889,3360,5,0.444444444444444,,,,
3,5,10,3168,11795,5,0.5,,,,
3,5,10,6026,21859,4,0.6,,,,
3,5,6,10000,37393,5,0.166666666666667,,,,
3,5,8,161,576,5,0.375,,,,
3,5,8,756,2603,4,0.5,,,,
3,5,9,673,2478,5,0.444444444444444,,,,
3,5,10,4160,14907,5,0.5,,,,
3,5,10,5609,20990,5,0.5,,,,
3,5,9,1042,3667,5,0.444444444444444,,,,
3,5,9,1920,6917,4,0.555555555555556,,,,
3,5,9,996,3717,5,0.444444444444444,,,,
3,5,6,14,55,5,0.166666666666667,,,,
3,5,5,8,31,4,0.2,,,,
3,5,9,996,3759,5,0.444444444444444,,,,
3,5,7,61,224,5,0.285714285714286,,,,
3,5,9,1110,3973,5,0.444444444444444,,,,
