Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
5,5,7,20,245,7,0,6.405,39.675,449.017,0.001111507936508
5,5,7,21,248,7,0,,,,
5,5,7,32,437,7,0,,,,
5,5,7,20,233,7,0,,,,
5,5,7,16,197,7,0,,,,
5,5,4,4,41,4,0,,,,
5,5,7,17,224,7,0,,,,
5,5,5,10,127,5,0,,,,
5,5,9,84,1017,9,0,,,,
5,5,8,50,647,8,0,,,,
5,5,5,5,64,5,0,,,,
5,5,6,8,97,6,0,,,,
5,5,6,18,227,6,0,,,,
5,5,7,25,340,7,0,,,,
5,5,6,18,223,6,0,,,,
5,5,8,36,477,8,0,,,,
5,5,7,21,252,8,-0.142857142857143,,,,
5,5,6,16,193,6,0,,,,
5,5,7,20,261,7,0,,,,
5,5,6,12,145,6,0,,,,
5,5,5,12,137,5,0,,,,
5,5,4,9,96,4,0,,,,
5,5,7,28,373,7,0,,,,
5,5,6,16,185,6,0,,,,
5,5,7,25,340,7,0,,,,
5,5,7,18,235,7,0,,,,
5,5,5,11,130,5,0,,,,
5,5,7,37,464,5,0.285714285714286,,,,
5,5,6,13,176,6,0,,,,
5,5,7,14,171,7,0,,,,
5,5,6,13,152,6,0,,,,
5,5,6,8,101,6,0,,,,
5,5,7,20,265,7,0,,,,
5,5,7,32,429,7,0,,,,
5,5,7,19,250,7,0,,,,
5,5,7,323,3058,5,0.285714285714286,,,,
5,5,5,5,44,5,0,,,,
5,5,7,35,446,7,0,,,,
5,5,7,14,191,7,0,,,,
5,5,8,70,943,8,0,,,,
5,5,7,32,393,7,0,,,,
5,5,5,5,68,5,0,,,,
5,5,6,16,209,6,0,,,,
5,5,7,25,308,7,0,,,,
5,5,5,5,52,5,0,,,,
5,5,8,381,3856,6,0.25,,,,
5,5,6,11,134,6,0,,,,
5,5,8,64,805,8,0,,,,
5,5,7,21,248,8,-0.142857142857143,,,,
5,5,6,11,126,6,0,,,,
5,5,8,41,480,9,-0.125,,,,
5,5,7,21,236,7,0,,,,
5,5,7,30,399,8,-0.142857142857143,,,,
5,5,6,8,97,6,0,,,,
5,5,7,13,152,7,0,,,,
5,5,7,22,251,9,-0.285714285714286,,,,
5,5,5,5,56,5,0,,,,
5,5,5,17,196,5,0,,,,
5,5,6,11,134,6,0,,,,
5,5,5,9,112,5,0,,,,
5,5,7,19,254,7,0,,,,
5,5,5,16,189,5,0,,,,
5,5,6,8,101,6,0,,,,
5,5,5,5,64,5,0,,,,
5,5,6,11,110,6,0,,,,
5,5,6,11,122,6,0,,,,
5,5,7,22,263,7,0,,,,
5,5,7,20,257,9,-0.285714285714286,,,,
5,5,7,10,127,7,0,,,,
5,5,7,14,191,7,0,,,,
5,5,8,37,500,8,0,,,,
5,5,6,7,94,6,0,,,,
5,5,5,5,56,5,0,,,,
