Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,4,7,139,486,4,0.428571428571429,5.91,162.833,541.627,0.346613888888887
3,4,6,30,105,4,0.333333333333333,,,,
3,4,7,184,611,4,0.428571428571429,,,,
3,4,5,6,19,4,0.2,,,,
3,4,10,2197,7290,4,0.6,,,,
3,4,8,485,1568,4,0.5,,,,
3,4,4,8,31,3,0.25,,,,
3,4,8,474,1601,4,0.5,,,,
3,4,8,909,2946,4,0.5,,,,
3,4,5,27,86,3,0.4,,,,
3,4,4,10,35,3,0.25,,,,
3,4,6,29,106,4,0.333333333333333,,,,
3,4,7,120,417,4,0.428571428571429,,,,
3,4,2,2,7,2,0,,,,
3,4,7,269,934,4,0.428571428571429,,,,
3,4,5,11,42,4,0.2,,,,
3,4,8,844,2945,4,0.5,,,,
3,4,4,10,35,3,0.25,,,,
3,4,4,4,13,4,0,,,,
3,4,6,31,100,4,0.333333333333333,,,,
3,4,4,10,35,3,0.25,,,,
3,4,7,140,481,4,0.428571428571429,,,,
3,4,6,38,131,4,0.333333333333333,,,,
3,4,6,38,131,4,0.333333333333333,,,,
3,4,5,27,104,3,0.4,,,,
3,4,7,118,393,4,0.428571428571429,,,,
3,4,5,12,41,4,0.2,,,,
3,4,4,4,15,4,0,,,,
3,4,3,3,14,3,0,,,,
3,4,6,49,180,4,0.333333333333333,,,,
3,4,8,609,1904,3,0.625,,,,
3,4,6,36,113,4,0.333333333333333,,,,
3,4,6,45,152,4,0.333333333333333,,,,
3,4,4,10,35,3,0.25,,,,
3,4,5,24,79,3,0.4,,,,
3,4,6,25,94,4,0.333333333333333,,,,
3,4,8,926,2899,3,0.625,,,,
3,4,5,9,34,4,0.2,,,,
3,4,8,296,943,3,0.625,,,,
3,4,6,49,180,4,0.333333333333333,,,,
3,4,4,8,31,3,0.25,,,,
3,4,7,137,454,4,0.428571428571429,,,,
3,4,6,32,107,4,0.333333333333333,,,,
3,4,6,33,112,4,0.333333333333333,,,,
3,4,4,10,35,3,0.25,,,,
3,4,4,4,13,4,0,,,,
3,4,6,47,158,4,0.333333333333333,,,,
3,4,7,245,826,4,0.428571428571429,,,,
3,4,7,135,392,3,0.571428571428571,,,,
3,4,6,34,119,4,0.333333333333333,,,,
3,4,6,58,209,4,0.333333333333333,,,,
3,4,6,43,146,4,0.333333333333333,,,,
3,4,6,68,237,3,0.5,,,,
3,4,4,7,26,3,0.25,,,,
3,4,6,29,106,4,0.333333333333333,,,,
3,4,7,164,533,4,0.428571428571429,,,,
3,4,4,4,17,4,0,,,,
3,4,4,10,39,3,0.25,,,,
3,4,7,154,505,4,0.428571428571429,,,,
3,4,7,138,463,4,0.428571428571429,,,,
3,4,3,3,12,3,0,,,,
3,4,7,478,1527,3,0.571428571428571,,,,
3,4,6,61,214,4,0.333333333333333,,,,
3,4,3,6,19,2,0.333333333333333,,,,
3,4,6,27,94,4,0.333333333333333,,,,
3,4,8,592,1839,3,0.625,,,,
3,4,7,269,934,4,0.428571428571429,,,,
3,4,5,11,42,4,0.2,,,,
3,4,4,4,13,4,0,,,,
3,4,4,4,13,4,0,,,,
3,4,3,3,14,3,0,,,,
3,4,5,8,27,4,0.2,,,,
3,4,6,74,235,2,0.666666666666667,,,,
3,4,3,3,14,3,0,,,,
3,4,7,269,934,4,0.428571428571429,,,,
3,4,6,36,125,4,0.333333333333333,,,,
3,4,7,116,395,4,0.428571428571429,,,,
3,4,8,246,785,4,0.5,,,,
