Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,3,4,10,31,3,0.25,3.91,18.995,57.334,0.263428380379234
3,3,4,8,27,3,0.25,,,,
3,3,2,2,9,2,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,2,2,9,2,0,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,1,1,4,1,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,5,16,3,0.25,,,,
3,3,5,17,48,3,0.4,,,,
3,3,5,30,91,3,0.4,,,,
3,3,4,10,33,3,0.25,,,,
3,3,5,30,91,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,30,91,3,0.4,,,,
3,3,2,2,7,2,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,2,2,7,2,0,,,,
3,3,5,30,91,3,0.4,,,,
3,3,3,3,12,3,0,,,,
3,3,5,35,102,3,0.4,,,,
3,3,7,241,688,2,0.714285714285714,,,,
3,3,5,35,102,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,5,30,91,3,0.4,,,,
3,3,6,120,349,2,0.666666666666667,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,7,241,688,2,0.714285714285714,,,,
3,3,1,1,4,1,0,,,,
3,3,4,8,25,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,37,116,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,4,10,31,3,0.25,,,,
3,3,1,1,4,1,0,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,24,71,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,4,15,2,0.333333333333333,,,,
,,,,,,,,,,
3,3,2,2,9,2,0,,,,
3,3,5,29,88,3,0.4,,,,
3,3,6,128,369,2,0.666666666666667,,,,
3,3,3,3,10,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,4,10,33,3,0.25,,,,
3,3,5,30,83,3,0.4,,,,
3,3,5,23,62,3,0.4,,,,
3,3,5,28,85,3,0.4,,,,
3,3,5,35,102,3,0.4,,,,
3,3,5,35,110,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,22,63,3,0.4,,,,
3,3,4,5,16,3,0.25,,,,
3,3,5,28,85,3,0.4,,,,
3,3,4,8,27,3,0.25,,,,
3,3,6,120,349,2,0.666666666666667,,,,
3,3,3,3,12,3,0,,,,
3,3,4,8,25,3,0.25,,,,
3,3,2,2,9,2,0,,,,
3,3,4,7,22,3,0.25,,,,
3,3,4,10,33,3,0.25,,,,
3,3,3,3,8,3,0,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,6,128,369,2,0.666666666666667,,,,
3,3,5,17,48,3,0.4,,,,
3,3,4,8,25,3,0.25,,,,
3,3,6,120,349,2,0.666666666666667,,,,
3,3,5,28,85,3,0.4,,,,
3,3,5,26,77,3,0.4,,,,
3,3,5,26,77,3,0.4,,,,
3,3,4,5,16,3,0.25,,,,
3,3,4,10,31,3,0.25,,,,
3,3,5,29,88,3,0.4,,,,
3,3,2,2,7,2,0,,,,
3,3,5,29,88,3,0.4,,,,
3,3,5,22,63,3,0.4,,,,
3,3,5,35,102,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,35,102,3,0.4,,,,
3,3,5,26,77,3,0.4,,,,
3,3,5,22,63,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,3,3,8,3,0,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,10,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,5,30,91,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,5,16,3,0.25,,,,
3,3,3,3,10,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,24,71,3,0.4,,,,
3,3,3,3,10,3,0,,,,
3,3,4,5,16,3,0.25,,,,
3,3,5,30,83,3,0.4,,,,
3,3,4,8,25,3,0.25,,,,
3,3,1,1,4,1,0,,,,
3,3,3,3,10,3,0,,,,
3,3,6,44,127,3,0.5,,,,
3,3,3,3,8,3,0,,,,
3,3,5,37,116,3,0.4,,,,
3,3,5,28,85,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,9,2,0,,,,
3,3,4,10,33,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,4,10,33,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,10,31,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,4,10,33,3,0.25,,,,
3,3,4,8,27,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,10,33,3,0.25,,,,
3,3,4,8,27,3,0.25,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,4,5,16,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,26,77,3,0.4,,,,
3,3,5,35,102,3,0.4,,,,
3,3,2,2,7,2,0,,,,
3,3,5,30,91,3,0.4,,,,
3,3,4,8,25,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,5,16,3,0.25,,,,
3,3,6,120,349,2,0.666666666666667,,,,
3,3,3,3,10,3,0,,,,
3,3,4,5,16,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,5,29,88,3,0.4,,,,
3,3,3,3,12,3,0,,,,
3,3,5,26,77,3,0.4,,,,
3,3,4,8,25,3,0.25,,,,
3,3,4,8,27,3,0.25,,,,
3,3,4,8,27,3,0.25,,,,
3,3,6,41,116,2,0.666666666666667,,,,
3,3,5,26,77,3,0.4,,,,
3,3,1,1,4,1,0,,,,
3,3,4,8,27,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,8,27,3,0.25,,,,
3,3,3,3,10,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,1,1,4,1,0,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,35,102,3,0.4,,,,
3,3,5,29,88,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,3,10,3,0,,,,
3,3,5,30,91,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,30,91,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,10,3,0,,,,
3,3,3,3,10,3,0,,,,
3,3,5,22,63,3,0.4,,,,
3,3,5,35,110,3,0.4,,,,
3,3,5,29,88,3,0.4,,,,
3,3,2,2,9,2,0,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,8,25,3,0.25,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,10,31,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,5,22,65,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,30,91,3,0.4,,,,
3,3,3,3,12,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,10,31,3,0.25,,,,
3,3,5,35,102,3,0.4,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,3,3,8,3,0,,,,
3,3,4,7,22,3,0.25,,,,
3,3,4,7,22,3,0.25,,,,
3,3,5,35,102,3,0.4,,,,
3,3,5,37,116,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,7,241,688,2,0.714285714285714,,,,
3,3,4,5,16,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,5,35,110,3,0.4,,,,
3,3,5,30,83,3,0.4,,,,
3,3,4,10,33,3,0.25,,,,
3,3,4,8,25,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,6,128,369,2,0.666666666666667,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,5,35,110,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,6,38,111,3,0.5,,,,
3,3,6,38,111,3,0.5,,,,
3,3,4,5,16,3,0.25,,,,
3,3,2,2,7,2,0,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,4,10,33,3,0.25,,,,
3,3,5,26,77,3,0.4,,,,
,,,,,,,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,5,29,88,3,0.4,,,,
3,3,5,22,63,3,0.4,,,,
3,3,5,23,62,3,0.4,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,5,30,83,3,0.4,,,,
3,3,5,35,110,3,0.4,,,,
3,3,3,3,10,3,0,,,,
3,3,5,17,48,3,0.4,,,,
3,3,5,22,63,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,29,88,3,0.4,,,,
3,3,3,3,10,3,0,,,,
3,3,5,30,83,3,0.4,,,,
3,3,4,8,27,3,0.25,,,,
3,3,5,29,88,3,0.4,,,,
3,3,3,3,12,3,0,,,,
3,3,3,6,19,2,0.333333333333333,,,,
3,3,5,28,85,3,0.4,,,,
3,3,4,5,16,3,0.25,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,5,30,83,3,0.4,,,,
3,3,2,2,7,2,0,,,,
3,3,3,3,10,3,0,,,,
3,3,5,22,63,3,0.4,,,,
3,3,5,29,88,3,0.4,,,,
3,3,5,24,71,3,0.4,,,,
3,3,5,22,65,3,0.4,,,,
3,3,4,7,22,3,0.25,,,,
3,3,4,10,31,3,0.25,,,,
3,3,5,37,116,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,5,35,110,3,0.4,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,10,33,3,0.25,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,2,2,9,2,0,,,,
3,3,4,7,22,3,0.25,,,,
3,3,5,28,85,3,0.4,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,35,110,3,0.4,,,,
3,3,3,4,15,2,0.333333333333333,,,,
3,3,4,10,33,3,0.25,,,,
3,3,3,3,10,3,0,,,,
3,3,4,10,31,3,0.25,,,,
3,3,4,8,25,3,0.25,,,,
3,3,2,2,7,2,0,,,,
3,3,2,2,7,2,0,,,,
3,3,4,10,33,3,0.25,,,,
3,3,6,120,349,2,0.666666666666667,,,,
3,3,5,22,65,3,0.4,,,,
3,3,5,37,116,3,0.4,,,,
3,3,3,3,10,3,0,,,,
3,3,4,8,25,3,0.25,,,,
3,3,5,23,62,3,0.4,,,,
3,3,5,37,116,3,0.4,,,,
3,3,3,3,10,3,0,,,,
3,3,2,2,9,2,0,,,,
