Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,3,5,12,43,4,0.2,3.855,6.042,21.202,0.01142380952381
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,5,18,5,0,,,,
3,3,3,3,10,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,5,14,6,-0.2,,,,
3,3,5,5,18,5,0,,,,
3,3,3,3,10,3,0,,,,
3,3,1,1,4,1,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,10,33,5,0,,,,
3,3,4,4,13,4,0,,,,
3,3,4,4,13,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,10,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,4,4,15,4,0,,,,
3,3,1,1,4,1,0,,,,
3,3,2,2,9,2,0,,,,
3,3,4,4,13,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,7,2,0,,,,
3,3,6,14,49,6,0,,,,
3,3,5,6,21,5,0,,,,
3,3,6,13,44,5,0.166666666666667,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,7,26,5,0,,,,
3,3,4,4,13,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,7,2,0,,,,
3,3,5,9,30,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,10,3,0,,,,
3,3,7,39,118,4,0.428571428571429,,,,
3,3,5,7,26,4,0.2,,,,
3,3,5,7,26,4,0.2,,,,
3,3,3,3,8,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,5,18,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,9,30,5,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,4,4,15,4,0,,,,
3,3,6,13,44,5,0.166666666666667,,,,
3,3,5,6,21,5,0,,,,
3,3,4,4,13,4,0,,,,
3,3,5,6,21,5,0,,,,
3,3,5,10,33,5,0,,,,
3,3,5,9,30,5,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,4,4,15,4,0,,,,
3,3,5,6,21,5,0,,,,
3,3,2,2,9,2,0,,,,
3,3,1,1,4,1,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,10,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,9,30,5,0,,,,
3,3,1,1,4,1,0,,,,
3,3,4,4,13,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,12,3,0,,,,
3,3,5,10,33,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,5,6,21,5,0,,,,
3,3,3,3,10,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,5,7,26,4,0.2,,,,
3,3,3,3,12,3,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,2,2,7,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,5,5,18,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,5,7,26,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,8,3,0,,,,
3,3,2,2,7,2,0,,,,
3,3,3,3,10,3,0,,,,
3,3,5,9,30,5,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,12,3,0,,,,
3,3,5,7,26,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,5,18,5,0,,,,
3,3,4,4,13,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,7,2,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,7,24,4,0,,,,
3,3,2,2,9,2,0,,,,
3,3,1,1,4,1,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,13,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,13,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,9,2,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,13,4,0,,,,
3,3,1,1,4,1,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,5,18,5,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,3,3,10,3,0,,,,
3,3,2,2,7,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,12,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,2,2,9,2,0,,,,
3,3,5,5,18,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,2,2,7,2,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,13,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,2,2,7,2,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,2,2,9,2,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,4,4,15,4,0,,,,
3,3,4,7,24,4,0,,,,
3,3,5,10,33,5,0,,,,
3,3,5,9,30,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,13,4,0,,,,
3,3,5,6,21,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,7,26,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,10,33,5,0,,,,
3,3,6,13,44,5,0.166666666666667,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,7,26,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,10,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,9,30,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,2,2,7,2,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,5,6,21,5,0,,,,
3,3,2,2,7,2,0,,,,
3,3,5,6,21,5,0,,,,
3,3,5,6,21,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,33,106,3,0.5,,,,
3,3,2,2,9,2,0,,,,
3,3,2,2,7,2,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,13,44,5,0.166666666666667,,,,
3,3,2,2,7,2,0,,,,
3,3,5,5,18,5,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,4,4,15,4,0,,,,
3,3,5,12,43,4,0.2,,,,
3,3,5,9,30,5,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,6,31,98,3,0.5,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,10,33,5,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,6,21,5,0,,,,
3,3,5,7,26,4,0.2,,,,
3,3,5,5,14,6,-0.2,,,,
3,3,7,39,118,4,0.428571428571429,,,,
3,3,5,12,43,4,0.2,,,,
3,3,3,3,12,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,3,3,12,3,0,,,,
3,3,3,3,10,3,0,,,,
3,3,4,4,15,4,0,,,,
3,3,4,4,15,4,0,,,,
3,3,5,7,26,5,0,,,,
3,3,5,6,21,5,0,,,,
3,3,4,4,13,4,0,,,,
3,3,2,2,9,2,0,,,,
3,3,3,3,10,3,0,,,,
3,3,1,1,4,1,0,,,,
3,3,4,4,15,4,0,,,,
