Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
6,5,7,13,233,7,0,6.199,42.819,651.251,-4.76190476190476E-05
6,5,4,4,52,4,0,,,,
6,5,5,16,260,5,0,,,,
6,5,6,16,255,6,0,,,,
6,5,6,9,157,6,0,,,,
6,5,4,4,67,4,0,,,,
6,5,5,15,251,5,0,,,,
6,5,6,13,218,6,0,,,,
6,5,7,30,486,7,0,,,,
6,5,4,4,52,4,0,,,,
6,5,7,24,407,7,0,,,,
6,5,6,14,222,6,0,,,,
6,5,5,5,76,5,0,,,,
6,5,8,88,1633,8,0,,,,
6,5,5,5,71,5,0,,,,
6,5,5,5,71,5,0,,,,
6,5,6,13,218,6,0,,,,
6,5,8,49,862,8,0,,,,
6,5,7,27,389,8,-0.142857142857143,,,,
6,5,7,115,1686,5,0.285714285714286,,,,
6,5,6,22,369,6,0,,,,
6,5,3,3,43,3,0,,,,
6,5,6,27,424,6,0,,,,
6,5,7,25,441,7,0,,,,
6,5,7,23,463,7,0,,,,
6,5,6,11,185,7,-0.166666666666667,,,,
6,5,6,22,324,6,0,,,,
6,5,5,5,76,5,0,,,,
6,5,7,47,784,7,0,,,,
6,5,7,44,797,7,0,,,,
6,5,7,24,452,7,0,,,,
6,5,6,12,189,6,0,,,,
6,5,5,11,175,5,0,,,,
6,5,5,5,86,5,0,,,,
6,5,7,24,412,8,-0.142857142857143,,,,
6,5,8,223,2853,8,0,,,,
6,5,5,13,223,5,0,,,,
6,5,8,50,966,8,0,,,,
6,5,6,26,420,6,0,,,,
6,5,6,11,190,6,0,,,,
6,5,6,13,238,6,0,,,,
6,5,4,4,57,4,0,,,,
6,5,7,27,489,7,0,,,,
6,5,6,11,180,6,0,,,,
6,5,6,14,212,6,0,,,,
6,5,4,4,57,4,0,,,,
6,5,5,5,71,5,0,,,,
6,5,6,15,266,6,0,,,,
6,5,7,45,801,7,0,,,,
6,5,4,4,57,4,0,,,,
6,5,6,13,233,6,0,,,,
6,5,6,16,245,6,0,,,,
6,5,7,23,443,7,0,,,,
6,5,7,29,492,7,0,,,,
6,5,5,9,152,5,0,,,,
6,5,7,24,437,7,0,,,,
6,5,7,24,457,7,0,,,,
6,5,7,30,501,7,0,,,,
6,5,5,5,76,5,0,,,,
6,5,5,5,91,5,0,,,,
6,5,6,17,254,6,0,,,,
6,5,6,24,407,6,0,,,,
6,5,6,27,474,6,0,,,,
6,5,6,14,207,6,0,,,,
6,5,7,30,481,7,0,,,,
6,5,5,5,86,5,0,,,,
6,5,7,30,511,7,0,,,,
6,5,5,5,71,5,0,,,,
6,5,5,5,76,5,0,,,,
6,5,6,13,223,6,0,,,,
6,5,6,11,175,7,-0.166666666666667,,,,
6,5,8,51,945,8,0,,,,
6,5,8,129,1887,9,-0.125,,,,
6,5,6,9,112,6,0,,,,
6,5,8,94,1642,8,0,,,,
6,5,6,14,237,6,0,,,,
6,5,7,31,510,7,0,,,,
6,5,6,11,175,7,-0.166666666666667,,,,
6,5,7,25,506,7,0,,,,
6,5,7,29,432,7,0,,,,
6,5,7,26,455,7,0,,,,
6,5,5,5,76,5,0,,,,
6,5,8,46,850,8,0,,,,
6,5,7,28,428,7,0,,,,
6,5,5,11,185,5,0,,,,
6,5,8,55,981,8,0,,,,
6,5,5,5,81,5,0,,,,
6,5,5,5,81,5,0,,,,
6,5,7,27,484,7,0,,,,
6,5,6,15,211,6,0,,,,
6,5,6,14,217,6,0,,,,
6,5,7,96,1460,5,0.285714285714286,,,,
6,5,6,13,233,6,0,,,,
6,5,5,5,71,5,0,,,,
6,5,6,11,125,6,0,,,,
6,5,6,61,875,4,0.333333333333333,,,,
6,5,5,5,66,5,0,,,,
6,5,6,14,237,6,0,,,,
6,5,7,29,487,7,0,,,,
6,5,8,565,7316,6,0.25,,,,
6,5,7,17,304,7,0,,,,
6,5,6,14,227,6,0,,,,
6,5,6,26,420,6,0,,,,
6,5,5,5,91,5,0,,,,
6,5,7,50,876,7,0,,,,
6,5,6,18,308,6,0,,,,
