Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
3,5,9,55,222,7,0.222222222222222,8.143,105.792,410.92,0.028716866466867
3,5,5,5,22,5,0,,,,
3,5,8,26,107,8,0,,,,
3,5,7,28,125,6,0.142857142857143,,,,
3,5,7,7,26,8,-0.142857142857143,,,,
3,5,7,7,30,7,0,,,,
3,5,9,72,301,7,0.222222222222222,,,,
3,5,8,8,35,8,0,,,,
3,5,8,17,72,8,0,,,,
3,5,10,102,433,8,0.2,,,,
3,5,7,7,28,7,0,,,,
3,5,7,12,51,7,0,,,,
3,5,6,6,25,7,-0.166666666666667,,,,
3,5,7,11,48,6,0.142857142857143,,,,
3,5,4,4,19,4,0,,,,
3,5,7,7,28,7,0,,,,
3,5,10,90,375,9,0.1,,,,
3,5,7,11,42,7,0,,,,
3,5,10,175,742,8,0.2,,,,
3,5,8,8,31,9,-0.125,,,,
3,5,7,12,51,6,0.142857142857143,,,,
3,5,3,3,14,3,0,,,,
3,5,8,28,123,7,0.125,,,,
3,5,9,60,237,8,0.111111111111111,,,,
3,5,11,3365,11476,7,0.363636363636364,,,,
3,5,11,389,1624,8,0.272727272727273,,,,
3,5,10,109,438,8,0.2,,,,
3,5,10,813,3100,6,0.4,,,,
3,5,10,52,225,8,0.2,,,,
3,5,9,420,1565,4,0.555555555555556,,,,
3,5,9,108,443,7,0.222222222222222,,,,
3,5,8,18,81,7,0.125,,,,
3,5,2,2,9,2,0,,,,
3,5,7,9,36,7,0,,,,
3,5,8,21,92,8,0,,,,
3,5,9,31,118,8,0.111111111111111,,,,
3,5,7,20,89,6,0.142857142857143,,,,
3,5,9,125,484,7,0.222222222222222,,,,
3,5,7,15,58,7,0,,,,
3,5,8,16,69,8,0,,,,
3,5,9,61,250,7,0.222222222222222,,,,
3,5,9,96,393,6,0.333333333333333,,,,
3,5,9,19,82,8,0.111111111111111,,,,
3,5,4,4,17,4,0,,,,
3,5,9,61,252,7,0.222222222222222,,,,
3,5,10,212,863,8,0.2,,,,
3,5,8,19,76,7,0.125,,,,
3,5,6,6,25,6,0,,,,
3,5,8,8,31,8,0,,,,
3,5,8,10,39,8,0,,,,
3,5,11,166,699,9,0.181818181818182,,,,
3,5,7,16,69,6,0.142857142857143,,,,
3,5,9,47,176,8,0.111111111111111,,,,
3,5,8,11,46,8,0,,,,
3,5,8,18,77,8,0,,,,
3,5,7,19,74,6,0.142857142857143,,,,
3,5,5,5,22,5,0,,,,
3,5,10,116,471,8,0.2,,,,
3,5,10,34,145,9,0.1,,,,
3,5,10,2090,7423,4,0.6,,,,
3,5,8,16,69,8,0,,,,
3,5,9,45,198,7,0.222222222222222,,,,
3,5,8,21,92,7,0.125,,,,
3,5,9,26,105,8,0.111111111111111,,,,
3,5,8,10,45,7,0.125,,,,
3,5,9,55,222,7,0.222222222222222,,,,
3,5,9,54,237,7,0.222222222222222,,,,
3,5,12,491,2044,9,0.25,,,,
3,5,10,174,725,8,0.2,,,,
3,5,8,25,108,7,0.125,,,,
3,5,10,374,1401,7,0.3,,,,
3,5,9,71,282,8,0.111111111111111,,,,
3,5,10,1464,5491,5,0.5,,,,
3,5,8,8,31,8,0,,,,
3,5,9,78,337,7,0.222222222222222,,,,
3,5,9,89,374,8,0.111111111111111,,,,
3,5,8,25,108,7,0.125,,,,
3,5,10,62,255,8,0.2,,,,
3,5,11,267,976,8,0.272727272727273,,,,
3,5,7,8,33,7,0,,,,
3,5,7,17,72,6,0.142857142857143,,,,
3,5,8,58,231,6,0.25,,,,
3,5,9,22,89,9,0,,,,
3,5,9,37,160,10,-0.111111111111111,,,,
3,5,10,406,1675,6,0.4,,,,
3,5,8,18,77,7,0.125,,,,
3,5,8,9,34,8,0,,,,
3,5,11,204,847,9,0.181818181818182,,,,
3,5,7,16,69,6,0.142857142857143,,,,
3,5,8,12,53,10,-0.25,,,,
3,5,9,41,174,11,-0.222222222222222,,,,
3,5,9,88,385,7,0.222222222222222,,,,
3,5,11,1909,7424,7,0.363636363636364,,,,
3,5,8,9,34,11,-0.375,,,,
3,5,11,402,1649,9,0.181818181818182,,,,
3,5,6,6,23,6,0,,,,
3,5,10,81,350,8,0.2,,,,
3,5,12,2998,11651,9,0.25,,,,
3,5,10,283,1182,7,0.3,,,,
